# k, bahamas, cowls
1.099557399999999963e-01 1.000241254104061062e+00 9.938899002172009167e-01
1.256637100000000118e-01 1.000222786601104863e+00 9.914297489728889357e-01
1.413716700000000048e-01 1.000168822953243719e+00 9.886173697581519537e-01
1.570796299999999979e-01 1.000074943163989261e+00 9.855051217167968280e-01
1.727876000000000134e-01 9.999373700600457937e-01 9.821421627412113553e-01
1.884955600000000064e-01 9.997546687746735605e-01 9.785821707775030909e-01
2.042035199999999995e-01 9.995254949556425794e-01 9.748712361347630084e-01
2.199114899999999873e-01 9.992523882000314828e-01 9.710575241824116466e-01
2.356194500000000080e-01 9.989336975356679638e-01 9.671733800758842703e-01
2.513274099999999733e-01 9.985732464902784544e-01 9.632546048393739735e-01
2.670353799999999889e-01 9.981727602952050749e-01 9.593276164124100447e-01
2.827433400000000097e-01 9.977346465036521783e-01 9.554147776392064584e-01
2.984512999999999749e-01 9.972618345520606331e-01 9.515336648525313246e-01
3.141592699999999905e-01 9.967557223755215690e-01 9.477004653900547027e-01
3.298672300000000113e-01 9.962191606528867371e-01 9.439273741503453330e-01
3.455751899999999766e-01 9.956569628402865968e-01 9.402167983805702622e-01
3.612831599999999921e-01 9.950671979603763484e-01 9.365877382329407252e-01
3.769911200000000129e-01 9.944566122381932605e-01 9.330308616925095944e-01
3.926990799999999782e-01 9.938245775790994774e-01 9.295592205498759419e-01
4.084070399999999990e-01 9.931737363823435194e-01 9.261726011309437956e-01
4.241150100000000145e-01 9.925070082168869767e-01 9.228667090021167585e-01
4.398229699999999798e-01 9.918257424923760945e-01 9.196428757142655064e-01
4.555309300000000006e-01 9.911302758303250915e-01 9.165087066021696538e-01
4.712389000000000161e-01 9.904228993581180029e-01 9.134587365685383764e-01
4.869468599999999814e-01 9.897053080420794569e-01 9.104891521741425020e-01
5.026548199999999467e-01 9.889786616180822332e-01 9.075987413666264381e-01
5.183627899999999622e-01 9.882440609654317143e-01 9.047858833501701836e-01
5.340707500000000385e-01 9.875025433269659647e-01 9.020486078305508526e-01
5.497787100000000038e-01 9.867550740634918327e-01 8.993846404948350193e-01
5.654866800000000193e-01 9.860025440012275544e-01 8.967914591342793784e-01
5.811946399999999846e-01 9.852457677793768909e-01 8.942663455935958572e-01
5.969025999999999499e-01 9.844854789935780781e-01 8.918064117988956374e-01
6.126105699999999654e-01 9.837220235725231410e-01 8.894174032437484057e-01
6.283185300000000417e-01 9.829562976091186233e-01 8.870933578963893229e-01
6.440264900000000070e-01 9.821890122212735275e-01 8.848275360341123497e-01
6.597344600000000225e-01 9.814206367959468214e-01 8.826166989602817203e-01
6.754424199999999878e-01 9.806515585373380972e-01 8.804576111948474448e-01
6.911503799999999531e-01 9.798821173994566314e-01 8.783576190518436189e-01
7.068583499999999686e-01 9.791128820704028124e-01 8.763165614448803487e-01
7.225663100000000449e-01 9.783441269611826696e-01 8.743195942352491867e-01
7.382742700000000102e-01 9.775759735775081394e-01 8.723635596753553934e-01
7.539822400000000258e-01 9.768092137334032365e-01 8.704681390479026559e-01
7.696901999999999910e-01 9.760438594539367907e-01 8.686154255650349043e-01
7.853981599999999563e-01 9.752797129291578271e-01 8.667961604129745812e-01
8.011061299999999719e-01 9.745178554236604285e-01 8.650302189189953417e-01
8.168140900000000482e-01 9.737581111418042168e-01 8.633040527930606611e-01
8.325220500000000134e-01 9.729998003992660349e-01 8.616041847525514052e-01
8.482300200000000290e-01 9.722451376403183909e-01 8.599618010130493095e-01
8.639379799999999943e-01 9.714923751306413502e-01 8.583450911701162589e-01
8.796459399999999595e-01 9.707421155639831545e-01 8.567622052756063145e-01
8.953539099999999751e-01 9.699955631580602367e-01 8.552230784727534729e-01
9.110618700000000514e-01 9.692503601798618806e-01 8.536996769541053132e-01
9.267698300000000167e-01 9.685104080952980921e-01 8.522311651774112651e-01
9.424778000000000322e-01 9.677718973793917323e-01 8.507761504371543770e-01
9.581857599999999975e-01 9.670378069752296746e-01 8.493625135488057643e-01
9.738937199999999628e-01 9.663063026421715440e-01 8.479707543510247580e-01
9.896016899999999783e-01 9.655785168603431279e-01 8.466104564730605464e-01
1.005309599999999914e+00 9.648542186345301364e-01 8.452770044017419160e-01
1.036725600000000025e+00 9.634161460451409198e-01 8.426885946524104165e-01
1.068141500000000077e+00 9.619924758621710703e-01 8.401994678672298766e-01
1.099557399999999907e+00 9.605834603467934274e-01 8.378037537298834714e-01
1.130973400000000018e+00 9.591892341154450996e-01 8.354958114734110097e-01
1.162389300000000070e+00 9.578098317843138920e-01 8.332702504562022883e-01
1.193805199999999900e+00 9.564462293193394249e-01 8.311270731067419426e-01
1.225221099999999952e+00 9.550992357349049611e-01 8.290649277084591873e-01
1.256637100000000062e+00 9.537673552179625203e-01 8.270723082210219568e-01
1.288052999999999892e+00 9.524502751667909273e-01 8.251445669991184229e-01
1.319468899999999945e+00 9.511475777751720040e-01 8.232772604666752647e-01
1.350884799999999997e+00 9.498587616128889577e-01 8.214661674508059175e-01
1.382300800000000107e+00 9.485888234547340536e-01 8.197275905474389335e-01
1.413716699999999937e+00 9.473334523478725844e-01 8.180420014182044897e-01
1.445132599999999989e+00 9.460911098968836086e-01 8.164024325461025633e-01
1.476548500000000042e+00 9.448618573010597599e-01 8.148080606228340628e-01
1.507964499999999930e+00 9.436526667872533469e-01 8.132795571739792617e-01
1.539380399999999982e+00 9.424552373384177395e-01 8.117879468490309947e-01
1.570796300000000034e+00 9.412686439375334002e-01 8.103301359356096523e-01
1.602212299999999923e+00 9.401029983089802533e-01 8.089348065401134047e-01
1.633628199999999975e+00 9.389480290677433283e-01 8.075698909496913380e-01
1.665044100000000027e+00 9.378041505793411892e-01 8.062365759349231498e-01
1.696460000000000079e+00 9.366802380437521114e-01 8.049576885743370269e-01
1.727875999999999967e+00 9.355644887048327751e-01 8.037003579747098447e-01
1.759291900000000020e+00 9.344647893959082685e-01 8.024849403839235951e-01
1.790707800000000072e+00 9.333784037030279368e-01 8.013028808369403455e-01
1.822123699999999902e+00 9.323010594823609720e-01 8.001434752274854123e-01
1.853539700000000012e+00 9.312431152505559195e-01 7.990307660494551101e-01
1.884955600000000064e+00 9.301899937781187289e-01 7.979295005226999526e-01
1.916371499999999894e+00 9.291577422785893825e-01 7.968765449899795072e-01
1.947787399999999947e+00 9.281308334120095260e-01 7.958354983102834401e-01
1.979203400000000057e+00 9.271212590435534695e-01 7.948330946021878729e-01
