# z  nz0_0 nz1_0 nz2_0 nz3_0 nz4_0
0.000000000000000000e+00 1.367818470577642203e-03 4.345294145043926447e-10 4.041446132653870213e-16 1.108588059833027891e-22 1.047728650887672696e-30
1.507537688442210991e-02 3.243972486977576234e-03 1.610142289247040288e-09 1.729531913944811146e-15 4.948893559065027924e-22 4.500307814957540832e-30
3.015075376884421982e-02 7.260004500528121144e-03 5.728284477646399939e-09 7.179076126005113517e-15 2.159781768650892361e-21 1.902796842140074568e-29
4.522613065326633319e-02 1.534139920842598342e-02 1.956690390691087225e-08 2.890422513482496675e-14 9.214581897280612425e-21 7.919501866190861988e-29
6.030150753768843963e-02 3.063107919684781438e-02 6.417726054685066108e-08 1.128787160042761422e-13 3.843313383423196952e-20 3.244569883512565576e-28
7.537688442211054607e-02 5.783381418835767396e-02 2.021290265068629651e-07 4.275889783188076142e-13 1.567115437856590357e-19 1.308485590229351190e-27
9.045226130653266639e-02 1.033567290249386844e-01 6.113563912336194962e-07 1.571126092195506251e-12 6.246864220433819314e-19 5.194361311047817465e-27
1.055276381909547728e-01 1.750339885309769861e-01 1.775871535905566301e-06 5.599802816924550360e-12 2.434389844347446024e-18 2.029764956954989220e-26
1.206030150753768793e-01 2.812613347072592251e-01 4.954691700410111474e-06 1.936062434388779932e-11 9.274414689836580755e-18 7.807443355049106493e-26
1.356783919597989996e-01 4.295191350638326022e-01 1.327854503462929179e-05 6.493210157918886005e-11 3.454242319480121483e-17 2.956110515797282286e-25
1.507537688442210921e-01 6.245122635066479022e-01 3.418680216118649538e-05 2.112527717212944866e-10 1.257739889857537363e-16 1.101743713538731463e-24
1.658291457286432125e-01 8.664105142690169403e-01 8.456510235038484154e-05 6.667430591912954990e-10 4.477161004051932941e-16 4.041923257276389121e-24
1.809045226130653328e-01 1.149797090072404382e+00 2.010041779247131186e-04 2.041451049315073505e-09 1.558083759753030311e-15 1.459629754943155698e-23
1.959798994974874253e-01 1.463813886325906033e+00 4.591593385438605878e-04 6.063957142680623008e-09 5.300999313751533821e-15 5.188528727755647279e-23
2.110552763819095456e-01 1.793627064219765366e+00 1.008177735430181889e-03 1.747525082254573389e-08 1.763219957094757628e-14 1.815484069689923134e-22
2.261306532663316382e-01 2.122859249595355102e+00 2.128167642150867456e-03 4.886023701894519704e-08 5.733770135557706101e-14 6.252983730676682232e-22
2.412060301507537585e-01 2.436262726675220591e+00 4.319758067079248337e-03 1.325466237223829811e-07 1.822899250291482018e-13 2.119965770143786896e-21
2.562814070351758788e-01 2.721822620498901113e+00 8.433333534706167686e-03 3.488834133702485608e-07 5.666012832368265011e-13 7.074850391992035669e-21
2.713567839195979992e-01 2.971720026032281137e+00 1.583945268951175711e-02 8.910658419569264712e-07 1.721825718852522027e-12 2.324089327667272759e-20
2.864321608040200640e-01 3.182029338451546341e+00 2.862940404558121307e-02 2.208402301420344426e-06 5.115666212326050123e-12 7.515119887566539489e-20
3.015075376884421843e-01 3.351462795005005990e+00 4.981540828715021879e-02 5.311395468299805359e-06 1.486009548571939345e-11 2.392032430489567545e-19
